# entry-subent-pointer  : E2793-007-0 
# EXFOR reaction        : (30-ZN-0(P,X)31-GA-66,,SIG) 
# incident energy       : 4.6200e+00 MeV - 2.9770e+01 MeV 
# target                : Zn-0 
# product               : Ga-66 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Khandaker 
# institute             : (3MALMAL): Malaysia 
# reference             : (J,RPC,226,112272,2025) 
# year                  : 2025 
# facility              : (ISOCY): Isochronous cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E27/E2793.x4 
# nds                   : https://nds.iaea.org/EXFOR/E2793
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.9770E+01        2.2000E-01        3.8900E-02        3.4000E-03
        2.8890E+01        2.2000E-01        3.5150E-02        3.0700E-03
        2.7980E+01        2.3000E-01        3.1550E-02        2.7600E-03
        2.7060E+01        2.3000E-01        2.7950E-02        2.4500E-03
        2.6100E+01        2.4000E-01        2.8430E-02        2.4900E-03
        2.5120E+01        2.5000E-01        2.8710E-02        2.5100E-03
        2.4120E+01        2.5000E-01        3.0260E-02        2.6500E-03
        2.3060E+01        2.6000E-01        3.4510E-02        3.0100E-03
        2.1980E+01        2.7000E-01        3.7680E-02        3.2900E-03
        2.0850E+01        2.8000E-01        4.3080E-02        3.7500E-03
        1.9700E+01        3.0000E-01        4.7900E-02        4.1700E-03
        1.8450E+01        3.1000E-01        5.8550E-02        5.0900E-03
        1.7150E+01        3.3000E-01        7.8170E-02        6.8000E-03
        1.5780E+01        3.5000E-01        1.1110E-01        9.6000E-03
        1.4300E+01        3.8000E-01        1.3840E-01        1.2000E-02
        1.2700E+01        4.1000E-01        1.5090E-01        1.3100E-02
        1.0940E+01        4.6000E-01        1.3800E-01        1.2000E-02
        8.9200E+00        5.3000E-01        1.0070E-01        8.7000E-03
        7.6800E+00        5.9000E-01        6.8360E-02        5.9200E-03
        6.2900E+00        6.8000E-01        1.6180E-02        1.4200E-03
        4.6200E+00        8.4000E-01        4.2000E-04        5.0000E-05
