# entry-subent-pointer  : D4088-004-2 
# EXFOR reaction        : (30-ZN-0(P,X)31-GA-67,,SIG) 
# incident energy       : 2.0600e+01 MeV - 3.4300e+01 MeV 
# target                : Zn-0 
# product               : Ga-67 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Hermanne 
# institute             : (2BLGVUB): Vrije Universiteit Brussels, Brussels 
# reference             : (J,JRN,240,623,1999) 
# year                  : 1999 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D40/D4088.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4088
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        2.0600E+01        7.0000E-01        1.5300E-01        1.7000E-02
        2.1700E+01        7.0000E-01        1.5000E-01        1.7000E-02
        2.2800E+01        7.0000E-01        1.4700E-01        1.7000E-02
        2.3900E+01        6.0000E-01        1.3900E-01        1.6000E-02
        2.4900E+01        5.0000E-01        1.2900E-01        1.5000E-02
        2.5900E+01        5.0000E-01        1.1800E-01        1.3000E-02
        2.6800E+01        5.0000E-01        1.0500E-01        1.2000E-02
        2.7700E+01        5.0000E-01        9.1600E-02        1.0300E-02
        2.8800E+01        5.0000E-01        7.9100E-02        8.9000E-03
        2.9600E+01        5.0000E-01        6.7900E-02        7.7000E-03
        3.0500E+01        4.0000E-01        6.0100E-02        6.8000E-03
        3.1400E+01        4.0000E-01        5.2800E-02        6.0000E-03
        3.2200E+01        4.0000E-01        4.6300E-02        5.2000E-03
        3.2700E+01        4.0000E-01        4.0300E-02        4.6000E-03
        3.3000E+01        4.0000E-01        4.1600E-02        4.7000E-03
        3.3600E+01        4.0000E-01        3.9000E-02        4.5000E-03
        3.4300E+01        5.0000E-01        3.8100E-02        4.4000E-03
