# entry-subent-pointer  : A0510-089-0 
# EXFOR reaction        : (30-ZN-66(P,X)30-ZN-65,,SIG) 
# incident energy       : 1.3800e+01 MeV - 2.9500e+01 MeV 
# target                : Zn-66 
# product               : Zn-65 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Levkovski 
# institute             : (4KASKAZ): Institute Yadernoi Fiziki, Almaty 
# reference             : (B,LEVKOVSKIJ,,,1991) 
# year                  : 1991 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/A05/A0510.x4 
# nds                   : https://nds.iaea.org/EXFOR/A0510
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        1.3800E+01        0.0000E+00        2.5000E-02        2.5000E-03
        1.4800E+01        0.0000E+00        5.5000E-02        5.5000E-03
        1.5800E+01        0.0000E+00        2.1900E-01        2.1900E-02
        1.6700E+01        0.0000E+00        3.3100E-01        3.3100E-02
        1.7500E+01        0.0000E+00        5.1300E-01        5.1300E-02
        1.8300E+01        0.0000E+00        6.3000E-01        6.3000E-02
        1.9300E+01        0.0000E+00        7.0000E-01        7.0000E-02
        2.0300E+01        0.0000E+00        7.0000E-01        7.0000E-02
        2.1400E+01        0.0000E+00        7.7600E-01        7.7600E-02
        2.2200E+01        0.0000E+00        7.9000E-01        7.9000E-02
        2.3100E+01        0.0000E+00        8.0000E-01        8.0000E-02
        2.4000E+01        0.0000E+00        8.2000E-01        8.2000E-02
        2.4800E+01        0.0000E+00        7.8000E-01        7.8000E-02
        2.5700E+01        0.0000E+00        7.5800E-01        7.5800E-02
        2.6600E+01        0.0000E+00        6.7600E-01        6.7600E-02
        2.7600E+01        0.0000E+00        6.0200E-01        6.0200E-02
        2.8500E+01        0.0000E+00        5.7500E-01        5.7500E-02
        2.9500E+01        0.0000E+00        5.4900E-01        5.4900E-02
