# entry-subent-pointer  : D4317-006-0 
# EXFOR reaction        : ['40-ZR-0', ['P,X'], '41-NB-91-M,,SIG'] 
# incident energy       : 7.9000e+00 MeV - 6.3000e+01 MeV 
# target                : Zr-0 
# product               : Nb-91-M 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : F.Szelecsenyi 
# institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
# reference             : (J,NIM/B,343,173,2015) 
# year                  : 2015 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D43/D4317.x4 
# nds                   : https://nds.iaea.org/EXFOR/D4317
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      7.90000E+00      7.00000E-01      1.89000E-02      2.10000E-03
      8.40000E+00      7.00000E-01      2.39000E-02      2.60000E-03
      9.60000E+00      6.00000E-01      2.70000E-02      2.90000E-03
      1.01000E+01      6.00000E-01      2.87000E-02      3.10000E-03
      1.12000E+01      6.00000E-01      2.79000E-02      3.00000E-03
      1.30000E+01      5.00000E-01      5.74000E-02      6.20000E-03
      1.43000E+01      4.00000E-01      6.81000E-02      7.40000E-03
      1.56000E+01      4.00000E-01      6.68000E-02      7.30000E-03
      1.67000E+01      3.00000E-01      6.42000E-02      7.00000E-03
      1.79000E+01      3.00000E-01      6.19000E-02      6.70000E-03
      2.00000E+01      1.70000E+00      4.93000E-02      6.10000E-03
      2.42000E+01      1.60000E+00      3.31000E-02      5.00000E-03
      2.73000E+01      1.60000E+00      1.92000E-02      3.80000E-03
      3.01000E+01      1.50000E+00      1.13000E-02      3.30000E-03
      3.28000E+01      1.50000E+00      1.10000E-02      3.60000E-03
      3.53000E+01      1.40000E+00      1.38000E-02      4.30000E-03
      3.88000E+01      1.30000E+00      1.38000E-02      4.10000E-03
      4.22000E+01      1.20000E+00      1.86000E-02      5.70000E-03
      4.53000E+01      1.20000E+00      1.51000E-02      4.10000E-03
      4.83000E+01      1.10000E+00      1.23000E-02      4.00000E-03
      5.12000E+01      1.00000E+00      1.04000E-02      3.50000E-03
      5.39000E+01      1.00000E+00      8.50000E-03      4.10000E-03
      5.66000E+01      9.00000E-01      1.07000E-02      3.50000E-03
      6.30000E+01      8.00000E-01      7.70000E-03      3.80000E-03
