# entry-subent-pointer  : D7024-013-0 
# EXFOR reaction        : (40-ZR-0(P,X)38-SR-85-G,CUM,SIG) 
# incident energy       : 3.5700e+01 MeV - 6.6600e+01 MeV 
# target                : Zr-0 
# product               : Sr-85-G 
# level energy          : - 
# MF-MT number          : 3 - 10 
# first author          : Yang 
# institute             : (3KORKAE): Korea Atomic Energy Research Instit. (KAERI), Daejeon 
# reference             : (J,NIM/B,436,179,2018) 
# year                  : 2018 
# facility              : (LINAC): Linear accelerator 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D70/D7024.x4 
# nds                   : https://nds.iaea.org/EXFOR/D7024
#
#       E_in(MeV)         dE_in(MeV)        XS(B)             dXS(B)
        6.6600E+01        7.0000E-01        2.8590E-02        1.6900E-03
        6.5400E+01        7.0000E-01        3.1030E-02        1.8300E-03
        6.4200E+01        7.0000E-01        3.0650E-02        1.8200E-03
        6.3000E+01        7.0000E-01        3.0130E-02        1.7900E-03
        6.1700E+01        7.0000E-01        3.0110E-02        1.7900E-03
        6.0400E+01        6.0000E-01        2.9600E-02        1.7600E-03
        5.9200E+01        6.0000E-01        3.0150E-02        1.7900E-03
        5.7800E+01        6.0000E-01        3.1430E-02        1.8700E-03
        5.6500E+01        6.0000E-01        3.1610E-02        1.8800E-03
        5.5100E+01        6.0000E-01        3.3730E-02        2.0100E-03
        5.3700E+01        6.0000E-01        3.5760E-02        2.1200E-03
        5.3100E+01        6.0000E-01        3.9820E-02        2.5700E-03
        5.2400E+01        6.0000E-01        3.6330E-02        2.1500E-03
        5.1400E+01        6.0000E-01        4.2790E-02        2.7500E-03
        5.0900E+01        6.0000E-01        3.9620E-02        2.3500E-03
        4.9600E+01        6.0000E-01        4.3010E-02        2.7700E-03
        4.7800E+01        5.0000E-01        4.0700E-02        2.6200E-03
        4.6000E+01        5.0000E-01        3.5340E-02        2.2900E-03
        4.4100E+01        5.0000E-01        2.8850E-02        1.8900E-03
        4.2100E+01        5.0000E-01        2.4250E-02        1.6100E-03
        4.0000E+01        5.0000E-01        1.3530E-02        9.4000E-04
        3.7900E+01        5.0000E-01        6.9800E-03        5.3000E-04
        3.5700E+01        5.0000E-01        1.7400E-03        1.9000E-04
