# entry-subent-pointer  : O0272-006-0 
# EXFOR reaction        : ['40-ZR-90', ['P,EL'], '40-ZR-90,,DA,,,EXP'] 
# incident energy       : 4.0000e+02 MeV 
# target                : Zr-90 
# product               : Zr-90 
# level energy          : - 
# MF-MT number          : 4 - 2 
# first author          : L.Lee 
# institute             : (1CANTOR): University of Toronto, Toronto, Ontario 
# reference             : (J,PL/B,205,219,88) 
# year                  : 1988 
# facility              : (MESON): Meson facility 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O02/O0272.x4 
# nds                   : https://nds.iaea.org/EXFOR/O0272
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      2.69000E+00      1.00000E-01      4.26000E+01      1.70400E+00
      2.71000E+00      1.00000E-01      3.17000E+01      1.26800E+00
      3.44000E+00      1.00000E-01      2.39000E+01      9.56000E-01
      3.89000E+00      1.00000E-01      1.80000E+01      7.20000E-01
      4.92000E+00      1.00000E-01      1.21000E+01      4.84000E-01
      4.94000E+00      1.00000E-01      9.00000E+00      3.60000E-01
      4.96000E+00      1.00000E-01      6.74000E+00      2.69600E-01
      5.69000E+00      1.00000E-01      5.73000E+00      2.29200E-01
      6.44000E+00      1.00000E-01      3.22000E+00      1.28800E-01
      6.48000E+00      1.00000E-01      1.79000E+00      7.16000E-02
      7.20000E+00      1.00000E-01      1.81000E+00      7.24000E-02
      7.25000E+00      1.00000E-01      9.00000E-01      3.60000E-02
      7.79000E+00      1.00000E-01      5.02000E-01      2.00800E-02
      8.62000E+00      1.00000E-01      8.70000E-02      3.48000E-03
      8.83000E+00      1.00000E-01      9.80000E-02      3.92000E-03
      8.88000E+00      1.00000E-01      4.85000E-02      1.94000E-03
      8.93000E+00      1.00000E-01      2.01000E-02      8.04000E-04
      9.64000E+00      1.00000E-01      2.29000E-02      9.16000E-04
      1.00500E+01      1.00000E-01      3.10000E-02      1.24000E-03
      1.09800E+01      1.00000E-01      9.10000E-02      3.64000E-03
      1.16800E+01      1.00000E-01      1.24000E-01      4.96000E-03
      1.16900E+01      1.00000E-01      1.04000E-01      4.16000E-03
      1.23800E+01      1.00000E-01      1.69000E-01      6.76000E-03
      1.31100E+01      1.00000E-01      1.27000E-01      5.08000E-03
      1.38500E+01      1.00000E-01      9.60000E-02      3.84000E-03
      1.45800E+01      1.00000E-01      8.20000E-02      3.28000E-03
      1.46000E+01      1.00000E-01      5.41000E-02      2.16400E-03
      1.51200E+01      1.00000E-01      4.58000E-02      1.83200E-03
      1.53600E+01      1.00000E-01      3.05000E-02      1.22000E-03
      1.58200E+01      1.00000E-01      1.92000E-02      7.68000E-04
      1.58600E+01      1.00000E-01      1.06000E-02      4.24000E-04
      1.61700E+01      1.00000E-01      7.10000E-03      2.84000E-04
      1.61900E+01      1.00000E-01      5.28000E-03      2.11200E-04
      1.66300E+01      1.00000E-01      4.46000E-03      1.78400E-04
      1.66600E+01      1.00000E-01      2.96000E-03      1.18400E-04
      1.69500E+01      1.00000E-01      3.06000E-03      1.22400E-04
      1.76300E+01      1.00000E-01      5.43000E-03      2.17200E-04
      1.76400E+01      1.00000E-01      4.55000E-03      1.82000E-04
      1.80500E+01      1.00000E-01      6.16000E-03      2.46400E-04
      1.87300E+01      1.00000E-01      1.00000E-02      4.00000E-04
      1.95200E+01      1.00000E-01      1.02000E-02      4.08000E-04
      1.97300E+01      1.00000E-01      1.15000E-02      4.60000E-04
      2.04400E+01      1.00000E-01      1.16000E-02      4.64000E-04
      2.11600E+01      1.00000E-01      1.18000E-02      4.72000E-04
      2.18900E+01      1.00000E-01      8.90000E-03      3.56000E-04
      2.23400E+01      1.00000E-01      6.69000E-03      2.67600E-04
      2.26700E+01      1.00000E-01      3.73000E-03      1.49200E-04
      2.33900E+01      1.00000E-01      3.36000E-03      1.34400E-04
      2.34300E+01      1.00000E-01      1.87000E-03      7.48000E-05
      2.38900E+01      1.00000E-01      1.18000E-03      4.72000E-05
      2.41800E+01      1.00000E-01      1.18000E-03      4.72000E-05
      2.42000E+01      1.00000E-01      8.80000E-04      3.52000E-05
      2.46800E+01      1.00000E-01      4.38000E-04      1.75200E-05
      2.49500E+01      1.00000E-01      4.96000E-04      1.98400E-05
      2.56600E+01      1.00000E-01      6.00000E-04      2.40000E-05
      2.63500E+01      1.00000E-01      9.20000E-04      3.68000E-05
      2.70500E+01      1.00000E-01      1.11000E-03      4.44000E-05
      2.81200E+01      1.00000E-01      1.28000E-03      5.12000E-05
      2.85000E+01      1.00000E-01      9.60000E-04      3.84000E-05
      2.90000E+01      1.00000E-01      8.60000E-04      3.44000E-05
      2.92300E+01      1.00000E-01      7.20000E-04      2.88000E-05
      2.99700E+01      1.00000E-01      4.85000E-04      1.94000E-05
      2.99900E+01      1.00000E-01      4.07000E-04      1.62800E-05
      3.07300E+01      1.00000E-01      2.73000E-04      1.09200E-05
      3.07600E+01      1.00000E-01      1.71000E-04      6.84000E-06
      3.12800E+01      1.00000E-01      1.28000E-04      5.12000E-06
      3.15200E+01      1.00000E-01      9.60000E-05      3.84000E-06
      3.22300E+01      1.00000E-01      9.70000E-05      3.88000E-06
      3.22700E+01      1.00000E-01      5.40000E-05      2.16000E-06
      3.29900E+01      1.00000E-01      5.48000E-05      2.19200E-06
      3.36900E+01      1.00000E-01      6.82000E-05      2.72800E-06
      3.44000E+01      1.00000E-01      7.60000E-05      3.04000E-06
      3.51000E+01      1.00000E-01      9.10000E-05      3.64000E-06
      3.63300E+01      1.00000E-01      7.80000E-05      3.12000E-06
      3.65500E+01      1.00000E-01      7.20000E-05      2.88000E-06
      3.72800E+01      1.00000E-01      5.95000E-05      2.38000E-06
      3.77400E+01      1.00000E-01      3.97000E-05      1.58800E-06
      3.80600E+01      1.00000E-01      2.49000E-05      9.96000E-07
      3.85100E+01      1.00000E-01      1.87000E-05      7.48000E-07
      3.88000E+01      1.00000E-01      1.67000E-05      6.68000E-07
      3.92600E+01      1.00000E-01      1.05000E-05      4.20000E-07
      3.95700E+01      1.00000E-01      7.90000E-06      3.16000E-07
      4.00200E+01      1.00000E-01      5.93000E-06      2.37200E-07
      4.03400E+01      1.00000E-01      3.31000E-06      1.32400E-07
      4.10600E+01      1.00000E-01      3.36000E-06      1.34400E-07
      4.14700E+01      1.00000E-01      4.54000E-06      1.81600E-07
      4.17600E+01      1.00000E-01      4.57000E-06      1.82800E-07
      4.21700E+01      1.00000E-01      6.18000E-06      2.47200E-07
      4.31700E+01      1.00000E-01      6.30000E-06      2.52000E-07
      4.42500E+01      1.00000E-01      5.72000E-06      2.28800E-07
