# entry-subent-pointer  : F0733-002-0 
# EXFOR reaction        : ['40-ZR-90', ['P,INL'], '40-ZR-90,PAR,DA'] 
# incident energy       : 2.5050e+01 MeV 
# target                : Zr-90 
# product               : Zr-90 
# level energy          : 6.5740e+00 MeV 
# MF-MT number          : 4 - 648 
# first author          : L.T.Van Der Bijl 
# institute             : (2NEDAMS): University of Amsterdam, Amsterdam 
# reference             : (J,NP/A,393,173,1983) 
# year                  : 1983 
# facility              : (CYCLO): Cyclotron 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F07/F0733.x4 
# nds                   : https://nds.iaea.org/EXFOR/F0733
#
# Angle(dgrees)     dAngle(dgrees)  XS(b/steradian)  dXS(b/steradian)
      9.59010E+00      1.39000E-01      1.13770E-04      1.11300E-05
      1.13220E+01      1.39000E-01      8.60500E-05      8.41830E-06
      1.36040E+01      1.39000E-01      1.12220E-04      7.20470E-06
      1.56100E+01      1.39000E-01      1.12330E-04      9.08550E-06
      1.96340E+01      1.39000E-01      1.05750E-04      8.55340E-06
      2.37190E+01      1.39000E-01      7.52430E-05      6.08600E-06
      2.77840E+01      1.39000E-01      5.87740E-05      6.87740E-06
      3.09130E+01      1.39000E-01      3.36190E-05      5.28750E-06
      4.11900E+01      1.39000E-01      4.98410E-05      1.75990E-05
      4.61500E+01      1.39000E-01      6.40770E-05      4.79500E-06
      5.14910E+01      1.39000E-01      6.62680E-05      3.99770E-06
      5.62110E+01      1.39000E-01      5.51040E-05      4.45710E-06
      6.12240E+01      1.39000E-01      5.52330E-05      3.54600E-06
      6.63890E+01      1.39000E-01      2.74920E-05      2.22370E-06
      8.05250E+01      1.39000E-01      1.76260E-05      1.13160E-06
      8.78040E+01      1.39000E-01      2.49040E-05      1.59880E-06
      9.44590E+01      1.39000E-01      2.87360E-05      2.32430E-06
      1.01540E+02      1.39000E-01      2.17900E-05      2.13170E-06
      1.08650E+02      1.39000E-01      1.41420E-05      1.65480E-06
