# entry-subent-pointer  : P0029--00-3-0 
# EXFOR reaction        : ['56-BA-138', ['T,G'], '57-LA-141,,SIG'] 
# incident energy       : 6.90e+00 MeV - 1.26e+01 MeV 
# target                : Ba-138 
# product               : La-141 
# level energy          : - 
# MF-MT number          : 3 - 102 
# first author          : P.J.Daly 
# institute             : (2UK NIN): Rutherford Appleton Laboratory, Chilton, England 
# reference             : (J,NP/A,119,673,1968) 
# year                  : 1968 
# facility              : None 
# git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/P00/P0029.x4 
# nds                   : https://nds.iaea.org/EXFOR/P0029
#
#       E_in(MeV)       dE_in(MeV)            XS(B)           dXS(B)
      6.90000E+00      0.00000E+00      1.00000E-06              NAN
      6.94000E+00      0.00000E+00      1.00000E-06              NAN
      7.65000E+00      0.00000E+00      5.00000E-06              NAN
      8.25000E+00      0.00000E+00      1.00000E-05      1.00000E-06
      8.51000E+00      0.00000E+00      1.30000E-05              NAN
      9.63000E+00      0.00000E+00      1.90000E-05              NAN
      9.99000E+00      0.00000E+00      2.40000E-05              NAN
      1.01000E+01      0.00000E+00      2.40000E-05      2.00000E-06
      1.05000E+01      0.00000E+00      2.60000E-05              NAN
      1.12000E+01      0.00000E+00      2.50000E-05              NAN
      1.13000E+01      0.00000E+00      2.40000E-05              NAN
      1.17000E+01      0.00000E+00      2.40000E-05              NAN
      1.22000E+01      0.00000E+00      2.10000E-05      2.00000E-06
      1.26000E+01      0.00000E+00      2.00000E-05              NAN
